Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,312000,17541194,32952,85022
高雄林小姐,104000,27263746,5605,20826
紅月,88400,91690,0,0
鳥羽樂奈,44200,1988991,10146,112396
璐洛洛,39700,3398962,13348,32638
虎妮,34800,1060294,2606,3559
香草奈若,34000,2220373,14051,101250
悠白,30600,748185,9085,124472
兔姬,27200,876128,4820,9468
Asa Ifrit,23400,722279,5014,15520
喵太,21900,518293,11247,33656
Naya,18600,4626845,888,4139
空,18200,1182657,1079,6128
鼠屋栗太,13100,85529,969,2557
諳石,11100,2566484,387,1133
一介,10700,729900,0,0
夏玥白夜,10700,161590,0,0
三毛,10500,309863,7945,192716
灰名,10400,139975,2120,4077
水野魚娜,10000,350024,2671,11032
藤乃熊,9250,40184,333,741
如月ルミィ,8160,176667,3717,6422
平平子,6780,45073,3679,11977
星見遙,6380,167985,1162,2492
風絮,6320,29652,200,475
蕾兒,6280,116748,1890,2915
虛擬熊頭,6070,0,0,0
魔法!,5530,1720745,386,964
TSMATCH火柴,5420,106195,810,1650
いくせん,5190,318860,348,2123
姬宮優花,5070,116361,770,2190
夏日葵,4840,281004,634,1806
LMPAPER,4770,411537,157,491
Lumina,3980,140825,211,307
綾賢ラピス,3860,40618,747,1726
綾瑞香,3350,78741,1178,8163
蝦拉拉,3340,100150,943,2939
楠橋詩耶,3140,88107,379,1502
明石巴,3050,15244,189,189
瀰婭,3030,170151,278,782
Joyce昕,3010,301078,164,396
観空部,2940,135288,585,947
祈霓,2840,15146,1166,6072
邱可,2470,19454,419,3577
櫻野露,2450,61922,446,832
卡滋可可,2410,90286,260,2583
星形KARAS,2360,369280,158,325
奶茶,2340,3574,104,264
撇嘴耳包前滾翻,2310,127688,514,581
櫻坂くりこ,2240,87483,258,401
仙貝兔兔,2160,103423,212,863
蘭希,2140,227987,325,644
Shaya,2080,82143,461,1399
藤本莉子,2080,25735,289,680
墨子,2060,61030,58,60
喵控,1880,30483,148,307
草莓電波,1850,21077,1707,1707
雨宮夢,1840,39487,190,377
水手緞帶,1780,80208,236,725
ウイル,1750,41578,473,3321
希爾艾姆,1730,32529,154,495
蛋塔レイ,1730,72882,59,276
西園寺兆兆,1650,29784,244,406
十五號,1640,3261,3279,3279
紅茶拿鐵,1630,59599,385,442
南心詠,1580,38180,455,512
結月,1540,39633,0,0
狐媚娘‧達亞,1520,23638,377,647
幽々魅,1510,29942,60,121
小森,1350,7333,1734,2183
鴨鴨山,1080,42954,283,929
喵朵伊,592,17205,137,581
鴨鴨伊比,241,4015,182,520
