Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
鬼鬼,811000,255686417,37200,93166,https://www.youtube.com/watch?v=xEdIqLLcJU4
杏仁ミル,319000,18486342,26926,130519,https://www.youtube.com/watch?v=iCNnpjC4XLE
高雄林小姐,104000,27615923,4607,9242,https://www.youtube.com/watch?v=BE12OcNDvGY
紅月,87900,95202,0,0,
鳥羽樂奈,48900,2861969,8068,25727,https://www.youtube.com/watch?v=8WSsA8iu1pE
香草奈若,44800,3940380,17532,45733,https://www.youtube.com/watch?v=FJvPw15zPOc
璐洛洛,43800,4060989,3953,32365,https://www.youtube.com/watch?v=uCmwqXj9Jic
虎妮,35200,1105225,1997,6974,https://www.youtube.com/watch?v=pYmZ7I8jkwM
悠白,34200,903289,5712,11111,https://www.youtube.com/watch?v=ejGH1BC1l98
虛擬熊頭,30000,467336,12710,28021,https://www.youtube.com/watch?v=kdpMXHeO-u4
兔姬,29000,968605,5216,7868,https://www.youtube.com/watch?v=tG12m1QgOTM
Asa Ifrit,26200,896650,5448,11250,https://www.youtube.com/watch?v=worGj9FJSE0
喵太,22400,565334,4565,4565,https://www.youtube.com/watch?v=nczLpp4FyzY
空,20100,1253763,845,11755,https://www.youtube.com/watch?v=DuJwYt9mNco
灰名,19600,507063,5968,90106,https://www.youtube.com/watch?v=QjfeAUpMp04
Naya,18600,4663904,1065,2067,https://www.youtube.com/watch?v=bbiX_GG-1Pk
如月ルミィ,16700,433203,7146,18404,https://www.youtube.com/watch?v=VjepVw3EUHs
藤乃熊,15300,64625,482,5959,https://www.youtube.com/watch?v=jWqywYzCeV8
鼠屋栗太,14100,137005,930,3577,https://www.youtube.com/watch?v=j-5AQb3nxaI
三毛,13900,581078,5798,12542,https://www.youtube.com/watch?v=XIGRpHiHRn8
水野魚娜,13600,550710,3850,7589,https://www.youtube.com/watch?v=U1H0QZ8iE38
平平子,13000,177889,4530,9126,https://www.youtube.com/watch?v=DTa5I0_zKIY
諳石,11200,2631142,286,678,https://www.youtube.com/watch?v=_TqfYSGte84
一介,10800,748109,419,437,https://www.youtube.com/watch?v=42dh_tsODlk
十五號,10800,157938,4674,12095,https://www.youtube.com/watch?v=m5gpfxqyY8w
夏玥白夜,10600,163341,0,0,
星見遙,9390,263810,1160,2535,https://www.youtube.com/watch?v=xnJVAa1GUJk
蕾兒,7920,162098,1565,2795,https://www.youtube.com/watch?v=kBqyA5J-z2M
榎川幸,7480,203496,1627,2237,https://www.youtube.com/watch?v=AmPl0W2RP68
秋月イノリ,7190,161453,888,1734,https://www.youtube.com/watch?v=UBPosbqDLKg
須多夜花,7090,98832,3387,13637,https://www.youtube.com/watch?v=1qifa3GwBUY
風絮,6450,39201,188,564,https://www.youtube.com/watch?v=-yjtEMENlRY
米亞,6000,203162,1918,5494,https://www.youtube.com/watch?v=PuRnOyKGDhU
TSMATCH火柴,5720,127195,579,863,https://www.youtube.com/watch?v=zoYWJwJeonU
魔法!,5560,1746272,241,437,https://www.youtube.com/watch?v=kT3yzG6NN3E
夏日葵,5560,303935,301,7811,https://www.youtube.com/watch?v=ch_qIhqWfVw
姬宮優花,5470,93986,518,993,https://www.youtube.com/watch?v=CmGFLqA3p4c
いくせん,5370,336679,233,655,https://www.youtube.com/watch?v=57YNeYFEepY
邱可,5250,53467,733,1971,https://www.youtube.com/watch?v=2Ws6SuMBg9A
瀰婭,4970,189839,429,1380,https://www.youtube.com/watch?v=MFhTssWx-2s
LMPAPER,4800,415092,153,220,https://www.youtube.com/watch?v=aj-upnSdv5U
祈菈‧貝希毛絲,4730,334094,1292,5823,https://www.youtube.com/watch?v=EeG4CIJUGQI
希靈,4640,56086,1321,7376,https://www.youtube.com/watch?v=PG9LMIDbvKY
723,4640,362133,81,238,https://www.youtube.com/watch?v=FMDDlPt0XsM
夏莎莎,4610,37075,1257,3008,https://www.youtube.com/watch?v=IxIONNW-6FA
綾瑞香,4520,164512,429,1075,https://www.youtube.com/watch?v=B9uHZNegTsQ
祈霓,4510,41684,918,1669,https://www.youtube.com/watch?v=HYojt0vu2Vk
狛井葵,4490,156822,1001,2459,https://www.youtube.com/watch?v=J6crFn-eAwg
綾賢ラピス,4200,49160,427,860,https://www.youtube.com/watch?v=iHfpTz8VLI0
Lumina,4120,147760,185,244,https://www.youtube.com/watch?v=JxpOvk0sHsc
紗夏,3940,70733,0,0,
小林あいす,3870,104207,1665,3175,https://www.youtube.com/watch?v=Q6LWIrsgRgM
蝦拉拉,3630,111282,759,1150,https://www.youtube.com/watch?v=x98X5yK1Ohg
楠橋詩耶,3560,95494,358,571,https://www.youtube.com/watch?v=5jCCvCHuH7k
MK妹,3550,48540,17880,25306,https://www.youtube.com/watch?v=8WPRgKiDJac
黒田翔隼,3440,67245,840,5058,https://www.youtube.com/watch?v=m6lAY5jCdtQ
罷工,3150,78785,153,2481,https://www.youtube.com/watch?v=JV2MaD4YqqU
狐媚娘‧達亞,3100,55673,551,7565,https://www.youtube.com/watch?v=Jlu55-FPoWw
明石巴,3050,15805,276,276,https://www.youtube.com/watch?v=qSo8NsGSeWA
観空部,3040,143984,343,804,https://www.youtube.com/watch?v=FfFvxmfckeo
Joyce昕,3030,300362,151,214,https://www.youtube.com/watch?v=tndrV_gOauM
櫻野露,2940,76042,382,669,https://www.youtube.com/watch?v=X6qdnUHxELk
狐太れお,2920,280349,0,0,
秋月莉莉卡,2870,25527,856,4930,https://www.youtube.com/watch?v=z9mKyEh68NQ
米良アイル,2860,56377,541,672,https://www.youtube.com/watch?v=wy71khRMS9k
天堂,2830,52251,2268,8748,https://www.youtube.com/watch?v=Z9tD0EmJuGQ
艾黎,2690,27754,399,1463,https://www.youtube.com/watch?v=MLwNpFXpWXs
南琳,2560,20958,139,609,https://www.youtube.com/watch?v=DYI24RLRkcw
卡滋可可,2550,96829,266,362,https://www.youtube.com/watch?v=5QwNs53UYEE
星形KARAS,2550,376073,190,460,https://www.youtube.com/watch?v=REFRwtEHzYI
撇嘴耳包前滾翻,2540,133401,475,475,https://www.youtube.com/watch?v=b_4VL4UG2tM
萬夜尋,2440,21329,0,0,
小森,2390,20542,739,3044,https://www.youtube.com/watch?v=mHKoXmqu5Dg
布魯斯,2360,27673,2817,7908,https://www.youtube.com/watch?v=2zpBetbVcr0
砂糖,2330,372537,0,0,
ウイル,2310,55987,493,604,https://www.youtube.com/watch?v=xZ97wAoY2w4
仙貝兔兔,2300,143724,411,2034,https://www.youtube.com/watch?v=BJllOTyOOtU
櫻坂くりこ,2270,96451,235,577,https://www.youtube.com/watch?v=8r5sKsdytdA
Shaya,2270,94608,361,937,https://www.youtube.com/watch?v=m3SufooOxtU
蘭希,2250,307867,320,856,https://www.youtube.com/watch?v=lKC6Gul-5To
藤本莉子,2180,30083,134,279,https://www.youtube.com/watch?v=DNxw6uYg67M
小咖,2180,1619945,1823,9359,https://www.youtube.com/watch?v=TVSYYmYHnzM
鬼塚魅華,2150,11675,426,2001,https://www.youtube.com/watch?v=jFOBsP4-dLI
水屋砂糖,2150,65579,1790,1873,https://www.youtube.com/watch?v=msAMspXGiL8
墨子,2070,63162,47,234,https://www.youtube.com/watch?v=igNXBm4T6_8
斜胖,2060,43815,532,1122,https://www.youtube.com/watch?v=UNBYMpfM1a4
西園寺兆兆,2060,40090,321,509,https://www.youtube.com/watch?v=s4zzq5fiLSA
羽蔚陌攸,2040,31907,66,85,https://www.youtube.com/watch?v=lMlKVp38Fxg
喵控,2010,37815,165,1098,https://www.youtube.com/watch?v=5Tfkxl18gj0
塔芭絲可,2010,21389,445,1834,https://www.youtube.com/watch?v=EXrkEcmcrh0
雨宮夢,1910,43234,179,268,https://www.youtube.com/watch?v=z6dOXkeCEmI
凱婷,1900,45808,456,929,https://www.youtube.com/watch?v=ZkDgGWMwdQQ
草莓電波,1890,22263,0,0,
希莉亞,1880,85623,2056,4017,https://www.youtube.com/watch?v=qlcRS8JVRJ4
水手緞帶,1870,88917,207,721,https://www.youtube.com/watch?v=t0yzoc8LrG4
希爾艾姆,1870,37352,134,476,https://www.youtube.com/watch?v=vrjxwR1RRDc
周默,1800,37582,339,1949,https://www.youtube.com/watch?v=wLujxXL3SEM
日暮ない,1780,76632,175,188,https://www.youtube.com/watch?v=nZ8QM8H-l4g
海姬依莉亞,1750,24209,502,3988,https://www.youtube.com/watch?v=ythNqib6zJc
蛋塔レイ,1740,67120,66,93,https://www.youtube.com/watch?v=ys-LOqSgfCs
紅茶拿鐵,1670,61900,0,0,
茂矢門,1670,88856,250,476,https://www.youtube.com/watch?v=vbeho1fH1wc
閻,1650,50040,174,265,https://www.youtube.com/watch?v=MfS62zco1FE
天葉亞里,1630,34456,555,723,https://www.youtube.com/watch?v=3MBkHj9A1KU
南心詠,1620,39454,0,0,
詠星優宇奈,1600,21537,305,921,https://www.youtube.com/watch?v=LMgT2pG2fCI
結月,1590,44511,146,815,https://www.youtube.com/watch?v=2ra-85EQdKU
幽々魅,1570,31066,183,183,https://www.youtube.com/watch?v=-rrTPMdXTuU
凌千歌,1550,38686,0,0,
雙命裂,1540,66558,36,205,https://www.youtube.com/watch?v=g2KBdftbJAg
阿露比,1510,31601,522,1543,https://www.youtube.com/watch?v=O2Ak1HmxBIs
莉莉絲‧伊芙莉登,1490,52224,453,3273,https://www.youtube.com/watch?v=ZWpcSAmDmIE
罐罐,1480,75461,157,822,https://www.youtube.com/watch?v=3P6pZXusKYE
CiCiCi cirycle 的 荒荒荒,1470,88120,97,1092,https://www.youtube.com/watch?v=KyH4n7o_fUw
阿紋,1460,66279,103,154,https://www.youtube.com/watch?v=7PlUWzllSoE
Yona Moana,1440,18704,629,876,https://www.youtube.com/watch?v=Pdws5iCPF_E
神無月ミハル,1430,31233,189,243,https://www.youtube.com/watch?v=HgDRTq_0Qw4
尤里‧佛瑞斯特,1430,23563,297,545,https://www.youtube.com/watch?v=f9saehHnLGs
嗚夫沃夫,1410,36609,1341,4089,https://www.youtube.com/watch?v=hEAGT872CME
雨恩,1400,409075,144,380,https://www.youtube.com/watch?v=EivY0nQJTLM
煌煌,1400,66790,0,1,https://www.youtube.com/watch?v=jZkjbJYcRFU
鴨鴨山,1400,58938,357,1370,https://www.youtube.com/watch?v=cq7yFynNznY
天堂島灯粋,1380,25886,332,513,https://www.youtube.com/watch?v=Lq7FppXHekI
鴨鴨伊比,1370,18360,595,1299,https://www.youtube.com/watch?v=BbOnDwQqfxA
喵比,1360,64888,161,1623,https://www.youtube.com/watch?v=SkOKldUyU30
白色砂糖,1350,9056,372,1187,https://www.youtube.com/watch?v=r5A6bizzegI
森奈リヤ,1310,22961,173,436,https://www.youtube.com/watch?v=QhluRwwKTS4
MxM•Mir,1300,41189,69,82,https://www.youtube.com/watch?v=_48EUkXhrNo
桐櫻,1300,1459,0,0,
麻子マコ,1280,5355,1766,2760,https://www.youtube.com/watch?v=qSrWUJmPOjo
神夜奈央,1260,34909,162,542,https://www.youtube.com/watch?v=6Pub-GwVT0I
花原蜜子,1250,16726,187,336,https://www.youtube.com/watch?v=6GYOiJ3TY64
冬華凜,1240,22217,213,382,https://www.youtube.com/watch?v=dH1rnPCN4Qg
七海千草,1230,7117,84,84,https://www.youtube.com/watch?v=JSLXQNJvIus
Salty Ian,1210,52653,176,503,https://www.youtube.com/watch?v=j6llMi3Wrno
龍妹,1170,28767,0,0,
夜見愛夢,1160,11722,254,339,https://www.youtube.com/watch?v=9DGpGjdCwEU
黛亞門,1140,3556,0,0,
椎南月白,1130,2986,255,255,https://www.youtube.com/watch?v=EniIxTACf5M
緋尹夜,1120,75699,112,282,https://www.youtube.com/watch?v=K_jBgXtPddQ
隠岐スダマ,1110,196448,109,279,https://www.youtube.com/watch?v=M6OHL9xZI3s
優優,1110,14229,65,65,https://www.youtube.com/watch?v=oREtM1S9F0o
神崎涼子,1110,39928,324,672,https://www.youtube.com/watch?v=7NjaUgFDHhM
紗羅,1100,14790,271,603,https://www.youtube.com/watch?v=jz_5Y0mmVrg
白狼ゆざい,1100,5321,66,945,https://www.youtube.com/watch?v=_BR86ZOFM0E
星眷蕾米,1100,10555,431,1830,https://www.youtube.com/watch?v=CuuH-Djw_3o
草鈴,1090,14867,84,358,https://www.youtube.com/watch?v=1CLj7keV32Q
喵尾,1090,14218,0,0,
蘇菲蕥,1040,10541,207,316,https://www.youtube.com/watch?v=THEa6TW_IY0
うなぎ,1020,5629,5,33,https://www.youtube.com/watch?v=IAq9otz4_tY
紡霊拉比,1010,39279,593,2432,https://www.youtube.com/watch?v=7IWOJ1MkYFg
流霜絢目,1010,176234,153,285,https://www.youtube.com/watch?v=CLFoP7Aq74w
津路あさひ,1000,32847,274,2690,https://www.youtube.com/watch?v=Rxyg_Bm416Y
冬田獺,964,30545,153,226,https://www.youtube.com/watch?v=wzHCIR67ASc
狐火ヨハン,960,8864,244,465,https://www.youtube.com/watch?v=JbrOcJx6t-s
鳳梨,950,613598,85,139,https://www.youtube.com/watch?v=FF0j4FLgyBY
赤羽はる,934,23635,49,88,https://www.youtube.com/watch?v=pqt6xQS39S8
咪久,923,21988,190,985,https://www.youtube.com/watch?v=xCA5mXdxlr4
Aoi Hinamori,922,11141,237,607,https://www.youtube.com/watch?v=CzTGZFrCprc
萊菈‧希格娜斯,906,10850,284,482,https://www.youtube.com/watch?v=Cdtldw01pZU
鱷魚,878,6562,325,735,https://www.youtube.com/watch?v=1jictOfBR_w
欣希亞,869,34726,256,1052,https://www.youtube.com/watch?v=-ougMjifYp0
可諾莉,860,40089,207,659,https://www.youtube.com/watch?v=3xPrcYzPKac
朱道,855,22723,474,963,https://www.youtube.com/watch?v=Dx0imkwL5I4
摸魚企鵝&廢人虎鯨,849,15692,105,172,https://www.youtube.com/watch?v=uK6nDxG1a7k
小闇,842,16698,232,520,https://www.youtube.com/watch?v=JgHAAxKbfOk
春卷マキ,825,15176,253,685,https://www.youtube.com/watch?v=whDjc-LgeUE
兔乃艾露,815,5174,114,173,https://www.youtube.com/watch?v=dlaTq5_UCwA
小岩井波波利,807,15727,384,839,https://www.youtube.com/watch?v=LOqBcmdDJ38
如月柚,806,21428,164,190,https://www.youtube.com/watch?v=ZlniN9LTG58
Kulolo,799,4332,0,0,
蜜番茄,796,13491,237,317,https://www.youtube.com/watch?v=haQHL9sSAX4
AYAYA,770,12691,63,229,https://www.youtube.com/watch?v=8qiVVla0T6I
猫沢ルル,750,8738,121,213,https://www.youtube.com/watch?v=qxYllQLuzPQ
Yoru,742,28075,110,241,https://www.youtube.com/watch?v=shXRjT9BbyA
佩爾戴斯,725,17486,129,212,https://www.youtube.com/watch?v=ZCLWb3v1ETY
小小雪,715,23447,150,381,https://www.youtube.com/watch?v=m7kuOf6v_N4
白神やみこ,714,41107,0,0,
墮天翼,708,25532,47,115,https://www.youtube.com/watch?v=ww7BKuqrGgs
寶石玫洛,705,17007,184,293,https://www.youtube.com/watch?v=1VOiComLhZ8
