Display Name,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
杏仁ミル,360000,24183933,24789,65699,https://www.youtube.com/watch?v=3OYvhBZIZ94,18632,0,0,
高雄林小姐,103000,28817593,3597,6598,https://www.youtube.com/watch?v=GIlmoWkeC7E,0,0,0,
璐洛洛,85500,9867967,13189,113533,https://www.youtube.com/watch?v=glSWHWrqFq0,8846,1725,4178,https://www.twitch.tv/videos/1146499073
浠Mizuki,73700,2366481,28822,160299,https://www.youtube.com/watch?v=rRldTVnbglw,0,0,0,
李李鈴蘭,54800,1151211,50310,136430,https://www.youtube.com/watch?v=RkfzhWcSX2I,0,0,0,
鳥羽樂奈,52200,3975889,2205,4228,https://www.youtube.com/watch?v=rPPo-eBJC3A,1235,215,215,https://www.twitch.tv/videos/1155639195
露恰露恰,51900,1219338,7445,18639,https://www.youtube.com/watch?v=vP4EgmT8CU8,0,0,0,
灰名,51600,2663472,7450,25210,https://www.youtube.com/watch?v=w3p3fI7fkdQ,0,0,0,
悠白,51100,2129944,5367,11751,https://www.youtube.com/watch?v=XLNYGFH_Fj0,0,0,0,
香草奈若,50300,6229843,2755,8770,https://www.youtube.com/watch?v=5s0Zm0xTJe0,0,0,0,
十五號,45300,1514258,8379,43496,https://www.youtube.com/watch?v=QEQntL4Bb14,0,0,0,
平平子,44200,1256857,6143,14699,https://www.youtube.com/watch?v=bKtncqmbr2o,0,0,0,
泰多貝亞,42200,1890478,5901,14490,https://www.youtube.com/watch?v=zfw8bBLmjSI,0,0,0,
Asa Ifrit,39300,2026809,5308,9806,https://www.youtube.com/watch?v=OX0mSiBmlMY,0,0,0,
虎妮,38900,1375820,1576,4095,https://www.youtube.com/watch?v=LiqkgDg-8H8,21,0,0,
兔姬,37400,1394288,3195,7386,https://www.youtube.com/watch?v=lWyo_XS-fT0,0,0,0,
貝莉莓Vtype,35600,2007193,9288,26967,https://www.youtube.com/watch?v=wyLElv9nmfQ,0,0,0,
喵太,25400,756493,2345,3185,https://www.youtube.com/watch?v=MRgWSS_C0AU,5289,1523,1549,https://www.twitch.tv/videos/1154074413
歐貝爾,25100,718776,4762,17917,https://www.youtube.com/watch?v=GQHXB_WcgJw,0,0,0,
醬油Joyu,24900,283384,723,1411,https://www.youtube.com/watch?v=_Gyzveha7Zc,0,0,0,
迷子羽根,24400,121275,1145,2270,https://www.youtube.com/watch?v=2LSuyNW2NX8,0,0,0,
三毛,23500,1447807,3187,11296,https://www.youtube.com/watch?v=Wdrnfrgi700,0,0,0,
空,22500,1637260,858,22886,https://www.youtube.com/watch?v=-xU_r5RTLHw,0,0,0,
須多夜花,22500,849196,2159,5121,https://www.youtube.com/watch?v=z7VIAL0VulI,0,0,0,
語風薯薯與愛紗公主,22300,11323158,1825,6087,https://www.youtube.com/watch?v=tVEX_1wj-3k,0,0,0,
祈菈‧貝希毛絲,19800,998716,3306,8743,https://www.youtube.com/watch?v=gwEyL49QcIw,0,0,0,
Naya,19400,5112679,2141,8843,https://www.youtube.com/watch?v=wXQVIhP1DHA,3255,0,0,
藤乃熊,19000,115067,132,837,https://www.youtube.com/watch?v=yzHtKPZ-wwM,0,0,0,
Yu,17800,4415233,2755,23844,https://www.youtube.com/watch?v=HnPrtWgz3dg,0,0,0,
鼠屋栗太,17800,418775,921,1888,https://www.youtube.com/watch?v=AymaYjzn4Ws,0,0,0,
希靈,14700,384499,1739,7898,https://www.youtube.com/watch?v=j4lbSFCw_gw,0,0,0,
銀鈴‧希爾貝露,13200,337554,912,6246,https://www.youtube.com/watch?v=OPf_E9W9yWM,0,0,0,
蕾兒,12500,379385,1647,2617,https://www.youtube.com/watch?v=DY1-kAcayk0,0,0,0,
諳石,12400,2869989,538,1286,https://www.youtube.com/watch?v=dAyjMiAHpTA,1389,32,36,https://www.twitch.tv/videos/1144518626
星見遙,11600,422985,582,4307,https://www.youtube.com/watch?v=NqDk7iVy2Zs,0,0,0,
蘆棠布奈,11600,312323,2666,5263,https://www.youtube.com/watch?v=lbn1jnDPDLQ,0,0,0,
諾櫻,11500,453552,2233,6419,https://www.youtube.com/watch?v=uC5msDw5tLM,0,0,0,
瑪格麗特．溫特斯,10300,165901,5979,26990,https://www.youtube.com/watch?v=UPYY3ZSIJ00,0,0,0,
塔芭絲可,10300,493161,1734,4476,https://www.youtube.com/watch?v=AYDR-cHVSRI,0,0,0,
