Display Name,View Count,Title,Publish Time,URL,Thumbnail URL
璐洛洛,118844,【原神】2.6版本前瞻懶人包🎯神里綾人登場! 神里綾華、溫迪復刻! 抽溫迪還是萬葉？新地圖『層岩巨淵』實裝！補充官方沒說的內容，養肝迎接爆多新活動！新武器/新聖遺物/新怪物/系統優化 ▹璐洛洛◃,2022-03-21T13:45:11Z,https://www.youtube.com/watch?v=VraQQ8F4TXI,https://i.ytimg.com/vi/VraQQ8F4TXI/mqdefault.jpg
璐洛洛,114620,🔴AR60 ASIA【#原神 / Genshin】2.6版本官方前瞻直播一起看🍁歡迎綾人，萬葉唄唄~ 這次又會實裝什麼東西呢? ▹璐洛洛◃,2022-03-18T19:31:15Z,https://www.youtube.com/watch?v=VyANb0DzrMk,https://i.ytimg.com/vi/VyANb0DzrMk/mqdefault.jpg
璐洛洛,98658,【原神研究室】神里綾人抽不抽💦▸適用多種元素隊伍的接力輸出位！普攻戰技隊未來前導人物！新手適不適合抽？是否綁定專武？聖遺物/命座建議/天賦/武器/組隊搭配/輸出手法 ▹璐洛洛◃,2022-03-31T14:30:13Z,https://www.youtube.com/watch?v=-kelJtLkxOY,https://i.ytimg.com/vi/-kelJtLkxOY/mqdefault.jpg
懶貓子,95292,【#雀魂】天上にこちゃんといっしょ！【耐久配信中】｜Rumi/懶貓子,2022-03-25T18:36:48Z,https://www.twitch.tv/videos/1436416696,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/5859574df1305b0354f3_rumi0813_45965342701_1648233400//thumb/thumb0-%{width}x%{height}.jpg
杏仁ミル,93262,誰說咪嚕不可以色色？魔王被遠征！杏仁咪嚕色色登場！【天下布魔x杏仁咪嚕】,2022-03-09T14:04:34Z,https://www.youtube.com/watch?v=UK3wonKgGyA,https://i.ytimg.com/vi/UK3wonKgGyA/mqdefault.jpg
懶貓子,79502,【耐久配信中】VALORANT✨｜VALORANT,2022-03-28T10:44:16Z,https://www.twitch.tv/videos/1439170473,https://static-cdn.jtvnw.net/cf_vods/d1m7jfoe9zdc1j/ae6bd90fb253d5cbd13c_rumi0813_45995526989_1648464247//thumb/thumb0-%{width}x%{height}.jpg
杏仁ミル,79364,【天下布魔】最新合作角色居然是個又香又清楚的Vtuber❓難道Vtuber也可以色色的時代來臨了嗎？！又大又香直接單推受不鳥啦！！！,2022-03-24T12:00:13Z,https://www.youtube.com/watch?v=wVByDOfdDYA,https://i.ytimg.com/vi/wVByDOfdDYA/mqdefault.jpg
貝莉莓Vtype,73633,啊我怎麼打到一半斷線了啦！是不是不想讓我贏啊！【貝莉莓】@Annin Miru Channel  @KSP @Rumi ch. 懶貓子,2022-03-09T09:00:17Z,https://www.youtube.com/watch?v=ZUgxAzBmlPw,https://i.ytimg.com/vi/ZUgxAzBmlPw/mqdefault.jpg
璐洛洛,65230,【原神研究室】2.5下半角色&武器抽取建議👾▸核電廠－雷電將軍/永凍隊核心－珊瑚宮心海怎麼抽？雷神沒有2命不能玩嗎？心海武裝怎麼玩？教你如何抽到最理想的狀態 ▹璐洛洛◃,2022-03-09T15:45:10Z,https://www.youtube.com/watch?v=gamOzLA5Sgs,https://i.ytimg.com/vi/gamOzLA5Sgs/mqdefault.jpg
小原栞,58208,【廢片栞】靠近一點嘛❤,2022-03-12T18:12:16Z,https://www.youtube.com/watch?v=cdGsh3KJ-6k,https://i.ytimg.com/vi/cdGsh3KJ-6k/mqdefault.jpg
璐洛洛,56449,【原神研究室】2.5版本雷電將軍復刻Q&A💜▸10個常見雷神的疑問？雷九萬班/雷神國家隊配置&輸出手法？攻擊杯還是雷傷杯？班尼特可以點6命？畢業面板怎麼看？ ▹璐洛洛◃,2022-03-16T14:30:15Z,https://www.youtube.com/watch?v=RrWCKh84uQM,https://i.ytimg.com/vi/RrWCKh84uQM/mqdefault.jpg
璐洛洛,53084,🔴AR60 ASIA【#原神 / Genshin】滿命綾人&溫迪來我家！實際強度究竟如何？看直播抽月卡！ ▹璐洛洛◃,2022-03-30T18:48:10Z,https://www.youtube.com/watch?v=yk87cduJV3g,https://i.ytimg.com/vi/yk87cduJV3g/mqdefault.jpg
李李鈴蘭,50277,【歌回LA】唱吧🌟｜Singing stream,2022-03-08T14:25:22Z,https://www.youtube.com/watch?v=DEi7Eti2aPQ,https://i.ytimg.com/vi/DEi7Eti2aPQ/mqdefault.jpg
獅子山 Rio,49368,2022年3月　給大家的說話【香港Vtuber 獅子山りお】,2022-03-05T14:38:17Z,https://www.youtube.com/watch?v=BaHYhpx3slA,https://i.ytimg.com/vi/BaHYhpx3slA/mqdefault.jpg
杏仁ミル,47500,【雀魂】再國一把不為過吧？什麼役都不知道！只會國的女人(;´Д｀)打倒KSP！打倒懶貓子RUMI！打倒貝莉莓！,2022-03-07T17:38:53Z,https://www.youtube.com/watch?v=tSEsNTvnnLw,https://i.ytimg.com/vi/tSEsNTvnnLw/mqdefault.jpg
璐洛洛,47265,🔴AR60 ASIA【#原神 / Genshin】雷電將軍&珊瑚宮心海來我家！CP值超高的下半卡池登場囉！看直播抽月卡 ▹璐洛洛◃,2022-03-08T18:06:09Z,https://www.youtube.com/watch?v=9Prxz9qq26o,https://i.ytimg.com/vi/9Prxz9qq26o/mqdefault.jpg
李李鈴蘭,46780,【歌回LA】喝水，你會很健康🐺｜Singing stream,2022-03-15T13:30:15Z,https://www.youtube.com/watch?v=81iOnL7ejJw,https://i.ytimg.com/vi/81iOnL7ejJw/mqdefault.jpg
璐洛洛,43255,【原神研究室】珊瑚宮心海復刻Q&A🐟▸12個常見問題？T0永凍神鶴萬心/最舒服感電隊配置&輸出手法？海染套還是千岩套？新一代廢人養成機！畢業面板怎麼看？ ▹璐洛洛◃,2022-03-27T10:30:12Z,https://www.youtube.com/watch?v=yKwjlzT5IVg,https://i.ytimg.com/vi/yKwjlzT5IVg/mqdefault.jpg
璐洛洛,43146,【原神】我抽到七七........ ▹璐洛洛◃,2022-03-15T14:30:16Z,https://www.youtube.com/watch?v=lnVNY5Kd5iw,https://i.ytimg.com/vi/lnVNY5Kd5iw/mqdefault.jpg
璐洛洛,41004,🔴AR60 ASIA【#原神 / Genshin】2.6版本等不及了嗎？努力的開始存原石吧！每周日滷肉幫到你家！ ▹璐洛洛◃,2022-03-20T20:56:26Z,https://www.youtube.com/watch?v=FmJdPz7DOGA,https://i.ytimg.com/vi/FmJdPz7DOGA/mqdefault.jpg
璐洛洛,38414,🔴AR60 ASIA【#原神 / Genshin】滿命綾人&溫迪來我家Part2！每周日滷肉幫到你家！ ▹璐洛洛◃,2022-04-03T21:21:26Z,https://www.youtube.com/watch?v=q1IprRWXm2E,https://i.ytimg.com/vi/q1IprRWXm2E/mqdefault.jpg
浠Mizuki,37253,神っぽいな / 浠Mizuki【歌ってみた】,2022-04-03T11:30:10Z,https://www.youtube.com/watch?v=lFSuB4g-yRw,https://i.ytimg.com/vi/lFSuB4g-yRw/mqdefault.jpg
璐洛洛,36613,🔴AR60 ASIA【#原神 / Genshin】雷電將軍&珊瑚宮心海來我家Part2！每周日滷肉幫到你家！ ▹璐洛洛◃,2022-03-13T21:02:20Z,https://www.youtube.com/watch?v=-3tcBY8rypw,https://i.ytimg.com/vi/-3tcBY8rypw/mqdefault.jpg
璐洛洛,35836,🔴AR60 ASIA【#原神 / Genshin】雷電將軍&珊瑚宮心海復刻代抽預約中，每週日滷肉幫到你家! ▹璐洛洛◃,2022-03-06T20:43:15Z,https://www.youtube.com/watch?v=D_rkbTC7pYw,https://i.ytimg.com/vi/D_rkbTC7pYw/mqdefault.jpg
璐洛洛,35740,【原神研究室】3個絕版三星武器 & 1個絕版二星聖遺物✨▸全遊戲唯一一把三星單手劍，竟是萬葉的畢業武器？當成肥料吃掉怎麼拿回來？ ▹璐洛洛◃,2022-03-25T13:30:11Z,https://www.youtube.com/watch?v=yUeq_nvRdD8,https://i.ytimg.com/vi/yUeq_nvRdD8/mqdefault.jpg
杏仁ミル,34360,瑟瑟遊戲的配音趣事(´ω｀*),2022-03-11T13:52:12Z,https://www.youtube.com/watch?v=vPLTcyXH1dk,https://i.ytimg.com/vi/vPLTcyXH1dk/mqdefault.jpg
李李鈴蘭,32897,【雜談LA】早安！我們來聊... #李李鈴蘭,2022-03-20T02:01:51Z,https://www.youtube.com/watch?v=mJ5zj3ELsZ8,https://i.ytimg.com/vi/mJ5zj3ELsZ8/mqdefault.jpg
