V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,502000,98996231,146686,30276,391315,https://www.youtube.com/watch?v=ZVx3tGC78M4,5590,4767,6483,https://www.youtube.com/watch?v=Ls3C9XITTX0,241660,80136,391315,https://www.youtube.com/watch?v=ZVx3tGC78M4,31428,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,446000,48246632,13228,4360,143650,https://www.youtube.com/watch?v=no5cJYvVS_E,5754,2510,10740,https://www.youtube.com/watch?v=H_hcsHY0Vs4,14562,9473,143650,https://www.youtube.com/watch?v=no5cJYvVS_E,95812,25145,10226,46516,https://www.twitch.tv/videos/2155660926
664e1b310cf343b78623f99b31e40fae,394000,57418801,1276,489,7145,https://www.youtube.com/watch?v=dzrverdpnJU,1169,489,2140,https://www.youtube.com/watch?v=tXFU6CX31aM,5401,894,7145,https://www.youtube.com/watch?v=dzrverdpnJU,17140,0,0,0,
5535c9524eb046c38e172ebfa06b302f,343000,85327832,20089,10335,249372,https://www.youtube.com/watch?v=1ZimKwGuUQI,37141,13150,249372,https://www.youtube.com/watch?v=1ZimKwGuUQI,16380,8233,48197,https://www.youtube.com/watch?v=K0qegfzS8Z4,67002,5791,2853,21889,https://www.twitch.tv/videos/2166747961
4b6b055ada4d4f0ab63b7ad02a3fa3ef,225000,16463305,2177,949,5209,https://www.youtube.com/watch?v=FDJCCiwa0NE,2166,825,3259,https://www.youtube.com/watch?v=1g0ExCPBRR0,2189,956,5209,https://www.youtube.com/watch?v=FDJCCiwa0NE,54357,1614,506,3323,https://www.twitch.tv/videos/2162481409
a9f6574e98f34b20a05269134930fb50,219000,8057611,10761,8917,10905,https://www.youtube.com/watch?v=J45eMjiTWqY,10761,8917,10905,https://www.youtube.com/watch?v=J45eMjiTWqY,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,200000,38870811,9557,2655,30253,https://www.youtube.com/watch?v=bIPxwu0aVgg,12329,6569,30253,https://www.youtube.com/watch?v=bIPxwu0aVgg,5355,1546,14378,https://www.youtube.com/watch?v=UWMWqeSpBro,48243,5911,3347,27927,https://www.twitch.tv/videos/2158879764
abd64c9a64e04fb1b23faa2480c1c106,184000,63560806,4190,1936,32020,https://www.youtube.com/watch?v=hHhM-wQuaT0,4190,1936,32020,https://www.youtube.com/watch?v=hHhM-wQuaT0,7080,2407,18912,https://www.youtube.com/watch?v=jftBQ1YIb8U,1498,58,31,60,https://www.twitch.tv/videos/2164276597
312fdd3c5e6d4aefa73fd3860ecc5613,178000,20790160,13402,5845,19647,https://www.youtube.com/watch?v=3O6wM_9rqqQ,15910,8247,19647,https://www.youtube.com/watch?v=3O6wM_9rqqQ,10974,4627,15138,https://www.youtube.com/watch?v=YFPV_Z3c-lI,10641,0,0,0,
265a18972d244affae35711cfd1f9931,156000,14340463,4318,1861,17131,https://www.youtube.com/watch?v=P2popOzxWak,3997,1824,17131,https://www.youtube.com/watch?v=P2popOzxWak,4636,3068,7136,https://www.youtube.com/watch?v=RupC53aFx-I,5408,1034,434,3006,https://www.twitch.tv/videos/2156042026
