ID,Display Name,Alias Names,Youtube Channel ID,Twitch Channel ID,Twitch Channel Name,Debut Date,Graduation Date,Activity,Group Name,Nationality
## VTuber Group Official Channels,,,,,,,,,,
87968861d5794c01bfce46d51c8abfc7,RenewLive,,UCcXo1Ch7aP-D6miwSWwWLVw,,,,,Active,RenewLive,TW
6e845fd52d044ab598cc4ca35ba91f88,靛之森,,UCH8a1AfaafkBDs2HnzU_f0Q,,,,,Active,靛之森,TW
d177ac8568a14720b35bcc1a829aff51,ReLive Project,,UCZjRhT78El4L5hD4h_4wh1w,,,,,Active,ReLive Project,TW
500bd7cdaaa84adeb894c40ebd7f28ed,AirLife,,UCVb5_7IWNdQ9gqYCgiqTQmQ,,,,,Active,AirLife,TW
8044e4d538ab4e16b1952c8e42dee12e,Virtual Dorm,ﾊﾞｰﾁｬﾙアルパカ草泥馬,UCwcVH6I4m-wki2-pQNyzWiA,,,,,Active,Virtual Dorm,TW
4abb927b8dc049768d63b4a8e229e8cc,MOMOMO團,,UCERpy73Fxb6WBi04Mie677Q,,,,,Active,MOMOMO團,TW
5ae7e41f9b9a420d9217a0b2c6755f52,Lamplighter5,,UCmO8xJjIYrv6kGtGJF_nIMg,,,,,Active,Lamplighter5,TW
736cc97520834b3cac0f06d39fba5101,勞工花枝,,UCLS3TolpjXhby2ai98owsRQ,,,,,Active,勞工花枝,TW
7a7e366c81d54d03a07cb2c6cb382884,StRine Office,Sky Live,UC9vYD-h4jJnF37tOvyaf2Og,,,,,Active,StRine Office,TW
7d7c2c6f373c41e6b88c9ec9da02e918,綻櫻創作工作室,,UC7h5HSNpRJ0vcGcdj3qXR5w,,,,,Active,綻櫻創作工作室,TW
a819c12a2efd4808b945e6cb94dbc851,E.M Team,,UCasD-YZ1uH06AFXs1tDyXrQ,,,,,Active,E.M Team,TW
f0bc26cfe4a8451d863a8d8cbd6313ed,回家部,,,534295091,gohome3305,,,Active,回家部,TW
af5ec5c64500442882367d762e6c4b2b,PERISTI,,UC_SycjVrYJj_35CgLMdTM7A,,,2022/2/17,,Active,PERISTI,TW
cf51f722dc714a0cbb022f89fa311014,My Friends,,UC2eOvldK4b7f6CIXAny7oHw,,,,,Active,My Friends,TW
5612ac8b150e45e5a7381a2c07e9671a,巧莓起酥,,UCOUw2PkiemR-hdf2DszrdNw,,,2022/4/23,,Active,巧莓起酥,TW
b8ce93818de34a93901147e5d9857170,B1俱樂部,,UCIdyCErIAg0hH9p_PAwJ2pw,,,2021/8/8,,Active,B1俱樂部,TW
9272afe9ef72434082d9b5621857afd0,戀愛女子肌肉學院,,UCYHmdkRtkD1nt7XQO8QQEbw,787365284,gilma04,2022/5/17,,Active,戀愛女子肌肉學院,TW
ecd7e504a0b64480a4127a25678e4b4a,NKshoujo,,UCu8xnGNvyMARhjpga3VdQ5Q,,,,,Active,NKshoujo,TW
cd9733cb91b6400aae0bc23e3f25d7eb,摸魚企鵝&廢人虎鯨,,UCx1HKw9IJ5U3lHRdEvggPag,,,2020/7/5,,Active,摸魚企鵝&廢人虎鯨,TW
9cd8c8962dd94213804603687f9b0f5d,V_up Live,,UCn0JhVPsy0pdRznCjpcJxoA,,,,,Active,V_up Live,TW
09db2ab40bc54cae831b5514b68be313,異次緣,,UCctw7o1KKzr8x5YdhuRunIw,,,2022/1/1,2022/2/5,Graduated,異次緣,TW
9f68c1ebda2041c9a221d47733e3cab9,That Must Golive,,UCnYcVDWxQXKBqM7oIRAx9Jg,,,,,Graduated,That Must Golive,TW
61f7a65a613e4b168ced150d2ab226c9,埃及少女組,,UC0ym0eQcB8HPnxbi__TeuxA,,,,2021/8/16,Graduated,埃及少女組,TW
3411798a82a747398f1d11b6a33ab381,Eggtart,,UCNpxc3gd7QrRkNKhq5Dq25Q,,,,,Active,Eggtart,HK
3c567ec581484049ae43ef1fc976964d,Peace² Studio,,UCGTRx7hCGTdURS2RhBXobLg,,,,,Active,Peace² Studio,HK
63f45366143549d8a2d26406445e0077,幻花茶屋,,UCNO4BX9z_w8o1l-VFsKdS5g,,,2021/7/16,,Active,幻花茶屋,HK
94cb741a36254432a353b935b53560a2,BLOSSOMY,,UC14NBKA2LemUT2bT90FyYvg,,,,,Active,BLOSSOMY,HK
## Taiwanese VTubers,,,,,,,,,,
f6a4e7aa8d0c4e5cb39d199845ec4d02,杏仁ミル,,UCFahBR2wixu0xOex84bXFvg,436730505,vtuber_amiru,2018/12/26,,Active,,TW
5535c9524eb046c38e172ebfa06b302f,璐洛洛,,UCRf7OJA3azS4RsGd_G96FUw,453097542,ruroroisme,2019/8/22,,Active,,TW
a3ce195c0069494c99849d0b1a10a7fd,悠白,,UC-o-1qjKkMLq-ZFxXIzOUBQ,,,2020/11/11,,Active,雲際線工作室,TW
98e3a5838fec4a6caa936ae35485de23,露恰露恰,,UCmyc8eVR3G9A7hjaHsLR6NQ,,,2021/5/22,,Active,SquareLive,TW
01f26342ae4e419280bcfd6ec6e86db1,十五號,,UC_UqaRNrLcaL4fp2IAPV0OQ,796985234,no15rescute,2021/3/21,,Active,SquareLive,TW
512b64ec20174d018540516e9edf2b2f,鳥羽樂奈,,UCFEd5V7VcxBPPcuMGpmvkQA,663485435,tobarana,2020/11/20,,Active,靛之森,TW
0bf0ec441dc6489583f7218e02ab6a89,香草奈若,,UC4J0GZLM55qrFh2L-ZAb2LA,766603015,nyoro0606tw,2020/12/20,,Active,浪海數位,TW
e113ace92bbe445385bcc4635a9ca570,平平子,,UC2yG-9ekUwTs8Q0yMSycMxA,,,2021/3/1,,Active,SquareLive,TW
5c4241def363418d9b7167d8369d0350,虎妮,,UC6s0wLR0TZauzTVoGGw2r6g,269324952,hooniefriends,,,Active,,TW
494d2c5daf9f4a8a8e4538687e6be14c,兔姬,,UC0u_-3zgLkSYpQOxlBi-5Ng,,,2020/4/17,,Active,,TW
a02bb0332f5942ec892c932d6a089014,貝莉莓Vtype,,UCPYNvBYZ8ClPPJ6274K4rVA,,,2021/4/8,,Active,,TW
dee8efe8990e458c915e4f6a6a16b49f,泰多貝亞,虛擬熊頭,UCzHbCUKXn65icryUIgn1ETA,728572958,tedobear_,,,Active,,TW
c41044006a014ed28107f33221a7de98,Asa Ifrit,,UCxm2qC7Z7cjDAd6yPyl-sKQ,794928044,asa_ifrit,2020/11/15,,Active,MLNAM,TW
8a4988902b5640e6ae1829285307c636,歐貝爾,,UCW5O-tjdwofBwfispeMSPfw,,,2021/6/20,,Active,SquareLive,TW
ea4c1a67c2e445ad8028768616ceb659,洛可洛斯特,,UCT1kajmUhayQ4QaLlDbK23g,,,2021/6/5,,Active,,TW
d81d1032a43642eca36e82ba9a3c39c5,喵太,,UCr1m3SYxD89MHQmh8EynAVg,83556588,neko_ta,,,Active,彩色學校,TW
3afa3d15ff4a40de9b0950fa81a9ffc7,醬油Joyu,醬油Mochi,UCy5l7iZCTy-alDJ9rL5kuXQ,732079176,joyu1653,,,Active,,TW
b08047f2566246ac995e03a5db727cfe,須多夜花,,UCuy-kZJ7HWwUU-eKv0zUZFQ,733990404,sudayoruka,2021/4/1,,Active,RenewLive,TW
22c8ee785f7446e5978bab336fda92cb,迷子羽根,,UCtN3gU012OXuT4BJIaq4W6A,,,2021/5/30,,Active,,TW
e73551cd98ec47388899522353fc89e3,空,,UCyZZMKRn-mUEkPzaqa9b6bg,,,,,Active,小倉電子企業社,TW
5c7beefaa54444e3b0443d7abd93c1f7,三毛,,UCPqYxut8IQxG4HAMrJx5ffQ,109156102,san_mou,2021/2/27,,Active,,TW
6fb8c6dea7404638a9d78d4b0d84f64c,祈菈‧貝希毛絲,,UCykgAuIjn70_CXLNjZ8zppQ,,,2021/4/7,,Active,SquareLive,TW
be6c475c291d45a0a7349abdb70be20d,Yu,,UCFjL9hrhIxJyskUdGI6nCeg,,,2021/6/25,,Active,,TW
4b6655120fbd4431a8f7894cac4a4d49,希靈,,UCM1nL55m_QImE0ZRqvGmWWQ,,,2021/3/26,,Active,,TW
265a18972d244affae35711cfd1f9931,塔芭絲可,,UCXe8hqIk_Yap31y7EOCMdzg,,,2021/3/13,,Active,Mirolive,TW
bc0b8c437eda4361b2a10003013f49cf,藤乃熊,,UCmyDLzP9ZBAK2JO4kUuJMRQ,,,2021/1/18,,Active,,TW
f110fd69b66941bab04de9ada563c6ac,Aoi Hinamori,,UCJSBNjYCB1pu_t0FajsY17g,88925835,aoihinamori,2021/2/6,,Active,KAHO-FAMI,TW
94082eb7d950471b934592394ad3e4c8,鼠屋栗太,,UCsvSrfDReAqYM32_VW8t09w,,,2020/11/26,,Active,,TW
3be86a2a9cb447f393d235132e157789,蕾兒,,UCDb47NT3QzoCiorDtK9C_qg,,,2020/11/21,,Active,ACGlive,TW
bed13deb3871443980e131a466519b54,銀鈴‧希爾貝露,,UCwO7OC8he-XAkrDNvGe5kXA,,,,,Active,,TW
f7c48554816643cdb8d343e6e9e6d313,諾櫻,,UCgVuzUu24q8KIDOjJcmCnIQ,663463734,noeyinrelive,2021/4/4,,Active,ReLive Project,TW
0665fb3db61c43b5933f1de118625382,蔡宜蓁,,UCmkHW5H3YzSqSdKVmfR2Deg,,,2021/7/25,,Active,,TW
77533b0fb2324e33bff67fbbf4daf13f,諳石,,UCY3SeRGl6ty0I4DqVeZ5f0Q,102017228,anstone5769,,,Active,,TW
f7c8264349654390a5e39810dc012a38,星見遙,,UCl1RVJbkPnpNbO9-CsDqPmQ,,,2020/11/13,,Active,比鄰星域,TW
b63a5ee44acf4498827a3fd984ab23e0,蘆棠布奈,,UCnSa7dnmEf6bmyS_34yqE_A,,,2021/5/24,,Active,土芒果社,TW
221563b6b46245379c6dc6328c9d0447,一介,,UCNOgKLQi56Jwbv4KdobWa9g,,,,,Active,,TW
b165ca888a7d4f61b754ac53ca374f11,巴蘭利維坦,,UCUxIkkVP4EIIPhF8M1KRBjw,,,2021/6/5,,Active,MLNAM,TW
9e485b7b44e34693ad25bd04be743dbc,弦戶帝丹,,UC3T7xU1_r3-LAx5PKHYyxsg,,,2021/6/4,,Active,MLNAM,TW
86cb23450c22439e91affb91db6ed326,夏玥白夜,,UCnkeI-RYkipUFpRAv5RKXSg,,,,,Active,,TW
3cf8b7b95c244f0d9cba700f561c9737,Lumina,,UCc5cZPorgyc23wKN-Ng1R6w,,,2020/3/20,,Active,HiNet光世代,TW
7c00b7dc73a240dc84d68be389732a0c,櫻野露,,UCgL6PS1vba90zrZW9xmiwng,,,,,Active,Blossom Live,TW
6559d42f66684b8f80b4cd4589addd85,鴨鴨伊比,,UCH9Yw2PyGW0AtGltOuVcq_A,652588106,ahiruibi,2021/2/15,,Active,,TW
793e165182584e9aaee5dcc331abbb1e,麻子マコ,,UCR_lIhYdX7XLIVytgEVSrfA,,,2021/5/20,,Active,,TW
c51f84b3ec9c4501a364a6a4982fa284,風絮,,UCYPSP_gJ-BcREmsDzBIaRvw,670611400,fengxu_vt,2021/1/22,,Active,,TW
da4a58b114b94469a0a93f6b8ee7512d,秋芽,海姬依莉亞,UCv_W2ZpvfrLAzsHqtjWGKYw,715789351,chillya1020,2021/4/2,,Active,RenewLive,TW
5ba11a0bf35147d499259ad5608a7de1,蝦拉拉,,UCfSznBOuXiDxON_YUMCSFiQ,442777678,shalalashrimp,,,Active,VOICEMITH,TW
d5c19a6328af48ba88bf41b2dd757f14,詠星優宇奈,,UCHJyr2QQWGASn7FbodVh2aQ,,,,,Active,,TW
3dda133703f64b019d7eea0c5cb55335,瀰婭,,UCIR0USMXU0r7N8spBJHNA7A,46495382,miamya0615,,,Active,,TW
2a28e77671ae43d7bccec54e7e956dd9,月城九曜,,UCeZSiI9Kcyld9AjLuUdNKkA,,,2021/6/25,,Active,比鄰星域,TW
e02e777312df43b986f089339652402e,蘭希,,UCYLYzg2BRjpDIf-damyjJRw,,,,,Active,VOICEMITH,TW
8267ea37c12a471a8a038f501832e099,萊菈‧希格娜斯,,UCvgbuonmEURc7sGXLWPUYDQ,,,,,Active,比鄰星域,TW
9e351b7cdabd45c49c64074bc7d947ce,嗚夫沃夫,,UCprlKrFgmLW4F_Ec80PWuCw,,,,,Active,Psycho Live,TW
1b63d89e0b1a4b579de6d99e25eaff8f,貓祭,,UCUSJIma7V4ImjirHMPBLQqw,642146071,nekomatsuri_25,,,Active,,TW
9ca368e73d514656ade48dc946f55956,TSMATCH火柴,,UCXzEDlhV7wJuMY4c-Fvz7uQ,,,,,Active,,TW
67d6807619064938a78832b4106de5c0,橙米,,UCFru34yx23V-uujfAiv-7Ww,,,2021/5/22,,Active,異界冒險團,TW
6a30fc9ee6f24d839198497406c63cc1,いくせん,,UCKazkVudNQs8ZhwfXj_RNPw,441153296,ikusen_,,,Active,MOMOMO團,TW
658e63bebdca421ca934b0bf6aa2bcd8,灰妲,,UCx7GU8C3cr7vqp_SbS-8P-w,672618734,grayda0105,2021/3/26,,Active,ReLive Project,TW
41a8958a1a4a4cc8b404d04da033400e,綾瑞香,,UCYuCbE3H9xmR8_HSFizYFYg,70311564,ayamizuka,,,Active,,TW
78195639f2464c75a84f79d46120e28a,姬宮優花,,UC1d1dmxkh_yanq1U1gli7jw,569971283,hana_yuuka,,,Active,萌元氣,TW
abc7acc71b474ebebecfde51ad5f88e1,阿露比,,UCsqUknuSgEZ2GTtDWv-f10Q,,,,,Active,,TW
80f41a215cbc487b99f9015de3b58cf0,解凍三色豆,,UCaH89cKtbM4SfOVZqCBjWmw,,,2021/4/24,,Active,,TW
31f17632340f4e7fbd0ced07193dd81b,狐媚娘‧達亞,,UChl9chAone90455JN7RHvWw,,,2021/2/6,,Active,KAHO-FAMI,TW
626750f4e7a745619c171c44fb1efcc0,小小雪,,UCQymE4njJ-t9oahwX9-iC8w,183930375,hosinoyasetsu,2021/2/8,,Active,,TW
1c94e6e4d8cf4f8d9195385a9024275a,艾黎,,UCH9URGhHQ_MFnp1RlW9_Iwg,638905826,aili_tw,2021/2/21,,Active,,TW
a20202f0e1b14feb90c5ec173fad0e93,龍葵,夏日葵,UCLZyaaUwBw2ZvwLt6uY3_bQ,,,,,Active,,TW
7d7ceaac9d2a41a5bded6debd077e1e2,魔法!,,UC1oG3SdlNPj_WrokDgtpljQ,53444259,mahou1945,,,Active,,TW
51cd04cab0de47d4b2b5a156bbe2dfb0,森森觀月,,UC2-bkZjoaMImjZLKZliTAFA,,,2021/7/5,,Active,,TW
496b5a2dae1a4662806f858e8d40c5ea,雨宮夢,,UClQot-XYs9KQ2fmItSz4IjA,,,,,Active,,TW
e1e11ed8ecb24ab6ad7e1d4c4c39f563,uiru,ウイル,UCaa4SgE0_vAs1lLnEmOsbHw,,,,,Active,,TW
cd42e06c40534d9eac7e30a434e47d43,帕豹,,UCltL6Tvv1aKrrYt4tnkmNtw,731822408,pabovtb,2021/8/7,,Active,,TW
f9c9c29a9fb143539ade06564b99b233,夏樹きよし,,UCApwCqmHCddqQkAObr-CqdQ,,,,,Active,MOMOMO團,TW
fe1146730c9147f98f2b01f45cf242fd,秋月莉莉卡,,UCrErB2CzJ-ZWl8KO6Jw7W7w,,,2021/4/3,,Active,RaZerStar,TW
de81b740d66c439685aa37491d27efc4,LMPAPER,,UCSm_fWnT4OiXPMetcjaMOZQ,111748066,lmpaper,,,Active,,TW
a1470eec8f9349668adfbad2f25329b1,小岩井波波利,,UCeyw6iAIljXb9yN87ZuwB3Q,711171670,koiwaipoboly,,,Active,,TW
cb08464feb254db19b620331280e35e4,斜胖,,UCgZRGc0TCCiqbg0ylhKg3Rg,,,,,Active,,TW
9d9c6477329245cbb2557895f4f15686,稻乙緹,,UCKe1Q0YIwT-hzrZs_uxGb2g,673082016,iitifox,,,Active,,TW
74213f36e573452ca8f9f1e0a72f8ee5,轉生者AJin,虛擬宅男AJin,UCOKae99VAQNUWm_MvPDqogA,,,2021/5/30,,Active,,TW
6603f7e70b684a07a3dac687460bacc5,楠橋詩耶,,UCJbu-IrgxPITxHMdwbSnAUw,520240401,kusubashi_shiya,2020/4/22,,Active,,TW
effe96469a7348c786d01ccea8cf71cb,布魯斯,,UCl7ci9Pexnjf7UGpWxqj8qw,,,,,Active,,TW
554ca19c3d924cacac1f680675b9fdd2,玥語ほしぞら,,UCLXRu8yatzwjUpaFD1o07KA,725278589,yueyuhoshizora,2021/5/9,,Active,,TW
209a528363cd411886ec9e5d086ff1bc,観空部,,UCbTckg5xc-aEg1mgHsE8ocQ,489582394,ssyyk,,,Active,,TW
7e088cf828bf4e02ae65bb8a1f6a8b89,西園寺兆兆,,UC7yJ25m6i60LH1hBuwEDdjQ,666475261,chouchou_vt,2020/12/31,,Active,,TW
1aac7d12633a48c2b8f39356ee85de48,紗夏,,UCQucf5TmsGZZPE-zpC9f5LA,476952857,vt_sasha,,,Active,MOMOMO團,TW
f3404208a69741c481201fffcdea3d9e,冬華凜,,UCzNRceCYIomBHAcdOJGCRAQ,,,,,Active,Mirolive,TW
e93734c51e5141419d44dc147f1c5420,水手緞帶,,UC3iQgHIZAPOGG-1LKvINzoA,,,,,Active,,TW
b57162e62056494d85f1743abdbad648,東域艾瑞兒,,UCD-DzQygkLQWpGQwdT6se5g,,,2021/6/26,,Active,東域有限公司,TW
627d42f52e604f3e8eadc7f04ef74d2a,椎南月白,,UCGQ0452yHwnPsHTpcbdU0ow,,,,,Active,,TW
0851296bdf4c4516b2506b8cce5151da,星形KARAS,,UCHBrsRdgAR2Vo0SroozG9bg,,,,,Active,Psycho Live,TW
28a930938667442288010b333937e2ab,焦兒,,UClCygZk-T8H-Q2w-LDHlxQw,99384428,joerze,2021/7/23,,Active,,TW
3e1c8d17663e49158b54330fdac1a308,星之川涅緒,,UCkTQ6gRCQPR_FbLXWakP6OA,779479149,neo_hoshinokawa,2021/8/14,,Active,Mirolive,TW
fa3bc2669fe041dfaa0765278ffd6330,星之川倷緒,,UCCo1oV47p2_gX7AgCMDisVg,778744330,hoshinokawanao,2021/8/14,,Active,Mirolive,TW
c9ece3513c804b3db003cd8fca683857,薇妮,,UCrycDv1sYVGH5GK8XBTXABg,733175165,re_winnie,2021/7/10,,Active,ReLive Project,TW
99cc071a06b949bf8515609757fa9d7e,卡滋可可,,UCauImUa4IByz95-SxBDWZTQ,451393534,katsu_coco,2021/2/6,,Active,MOMOMO團,TW
c163cb7f683c453fa8a994ebbb09ede8,宇佐美みずき,,UCm0FPQSvA5L7ufeOjxnR54A,,,2021/7/9,,Active,,TW
42c4b7c9bf6340029530d3c8f47753ea,飛鳥唯世,,UCAZ6zbMz0DzJG4uTs9SOTog,,,2021/10/23,,Active,,TW
427956ab929c4d36afca5ad8245aad8d,罷工,,UCLLbop68_DIW8bTRMOCO4iw,,,2021/4/3,,Active,,TW
3c16d0b797bf49c3a4a6c043802ee2ec,唄姆拉奇亞,,UCc7lxY-klN5FV8coAR1g2wA,,,2021/7/17,,Active,,TW
49bb221fc77f440cae0c007a73f99aab,烏庫魯尼魯,,UCrIz9TA-2HUzvNHB5z8nOhg,,,2021/7/15,,Active,tomocora,TW
1937fa889b474d339713d1117f435018,Alisa 仙兔,仙貝兔兔,UCAN-OUkSXeJIMHU9Iogxl7w,417572300,vtalisa,,,Active,,TW
961e233f32a24593a1628e7c79f43f12,尤里‧佛瑞斯特,,UCcLBxo0HmwMDKhzXnNUmiIQ,,,,,Active,,TW
61dcd0f9c508433c824c0ba221d325e0,明石巴,,UCn7yLE-mf2l7Xhj5MwdZNNA,,,,,Active,小倉電子企業社,TW
090be1be8d29429183e190e22fc4be22,奈斯糖,,UCSnJ7To9jR42Xx3Puf1Ar6Q,171534738,ness9s1222,2021/10/29,,Active,惡貓計畫,TW
99d1a2e0c8c047d2ad998e02d4dd9621,哈提,,UCzJxXoiARTwhEw6kgpOLxJA,,,2021/3/2,,Active,,TW
7139f41cbcf9443e818c91b9108e3086,音時エラー,,UCaV2RmU3drZBtPuOkXZri3w,,,2021/5/31,,Active,,TW
288f2fba52bf4d6b9e0ba66e03439837,南琳,,UCHMCwtilDcB7Cc30D3KrqvA,10534740,minamirin136,2020/12/12,,Active,,TW
d5aa3e4d1b5e4346baaa0db456048bfa,鬼塚魅華,,UCnG1Ni-_2RJrpYJhikWrScQ,,,2021/3/13,,Active,邊緣人協會,TW
ccc1420185ad46d49d40b6b774db9b11,星眷蕾米,,UCF_Hh28RAiYTRm-NUyi-MqA,707353773,hoshikenremi,2021/4/9,,Active,RaZerStar,TW
6fe51595bece4323917555fd738c031e,夏洛特．帕芙,,UCP-xYlnoFRG1xc3sbq4ntCA,191401105,kims18251825,,,Active,,TW
340d9b553db042bdb8294ba2f9fd6990,深空眠,,UCttLL51poPUG5KOvk2pFOHQ,,,2021/4/14,,Active,,TW
247215e876d24dae9932464b75fc577c,高維爾,Cowell,UCE7IKtGwecu9CifcuAjR_2A,,,2021/4/3,,Active,,TW
8d5345223f364c7d8cc7203ee0ffafd6,撇嘴耳包前滾翻,,UC6_38mg79k2C8HiHqOaf8rA,,,,,Active,MOMOMO團,TW
ea62d2e6bc854e7a81b01a2362be310f,希莉亞,,UCOpI60ey2pDJnmV2T351AOg,636582482,twsiriya,,,Active,,TW
2d8030df89d042fba678da36c8f68aea,神崎,,UCxh0FrXbcVnqCvZ9bE3Bpqw,,,2021/4/14,,Active,,TW
f4fc9f87ed4b4f05a339b1f1a1d621b6,星見優樂,,UC9mNJ3oYxa86Ob294T1knQA,,,2021/7/10,,Active,星奏工作室,TW
557a590ea9764e8c99e72415d1837d52,結月,,UCb9Zg0yIbJEjgTQUK1LfpRg,,,,,Active,MOMOMO團,TW
dcbc307037cf4e76995feff3c579760c,朝日陽奈,,UC_AMWhTw597EVk4EQdok7_Q,,,2021/4/25,,Active,AirLife,TW
b7f222493f4d4bd1be65f1c08300b45e,紗羅,,UCZuQvHMvbkuPOT8MpDVgh_Q,,,2020/11/27,,Active,比鄰星域,TW
bfc978fbcce54a45b531c58bad2ef6df,黑鄉羊,,UCu1aAYNDCh42pwNHVd_rprA,42404600,blackgoat0810,2021/3/24,,Active,,TW
5cb1c062f5f94b44a41ae658f4a53f0c,黑野悠真,,UCW21m4m4Sqg5eM2EEh-o1JA,,,,,Active,,TW
