Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,308000,17070362,29941,69183
高雄林小姐,104000,27135221,5351,20568
紅月,88500,90429,0,0
鳥羽樂奈,42600,1833086,10957,104038
虛擬熊頭,39100,1143531,9492,141156
璐洛洛,37700,3142149,16303,30146
虎妮,34600,1036118,2086,4161
悠白,28700,691877,8275,122018
香草奈若,28400,1758572,15338,52339
兔姬,26500,843016,7369,16297
Asa Ifrit,22300,655065,5826,49017
Naya,18600,4610416,1153,5509
空,17900,1159682,1101,5986
鼠屋栗太,12700,71214,932,2299
諳石,11100,2550698,399,921
夏玥白夜,10800,161029,0,0
一介,10700,724545,0,0
灰名,10100,158413,1894,3979
水野魚娜,8600,295736,3033,10774
藤乃熊,7570,55030,515,17959
風絮,6320,26360,181,462
蕾兒,5990,105838,2179,3018
魔法!,5490,1711212,205,779
星見遙,5400,146170,1038,2740
TSMATCH火柴,5310,101373,858,1494
いくせん,5090,269948,322,1821
如月ルミィ,5010,116135,2597,5117
LMPAPER,4730,410303,129,401
姬宮優花,4660,109881,854,1242
夏日葵,4520,274970,846,8863
Lumina,3970,139162,274,2100
三毛,3830,38071,6096,15124
綾賢ラピス,3730,33098,1114,2723
蝦拉拉,3250,98434,730,2792
明石巴,3050,15419,0,0
Joyce昕,3000,299242,171,388
楠橋詩耶,2980,85871,500,1471
瀰婭,2910,167983,300,700
観空部,2880,133745,641,1079
綾瑞香,2450,56927,701,8905
卡滋可可,2370,88352,318,2378
星形KARAS,2300,367670,140,633
撇嘴耳包前滾翻,2300,126164,819,21529
櫻野露,2260,56052,527,1076
櫻坂くりこ,2220,83964,250,382
蘭希,2130,204153,458,720
仙貝兔兔,2130,95913,142,319
藤本莉子,2060,24333,374,574
墨子,2050,60381,220,370
Shaya,2010,75588,325,1181
邱可,2010,31606,1159,3246
喵控,1850,51785,177,523
雨宮夢,1810,38132,184,329
草莓電波,1780,18935,367,367
鴨鴨山,805,39110,224,868
喵朵伊,562,14545,178,571
鴨鴨伊比,207,2635,185,980
